flex1,flex2,flex3,ax,ay,az,gx,gy,gz,label
3929,1986,4095,8.935,-0.522,-2.851,0.033,0.104,0.065,POINT
3827,1937,3533,9.505,-0.946,-2.198,-0.038,0.281,0.136,POINT
3906,1918,3279,10.027,-1.041,-1.659,-0.027,0.139,0.063,POINT
3901,1967,3232,10.226,-0.888,-1.731,0.023,-0.204,-0.041,POINT
3938,1974,2800,9.558,-0.63,-2.468,0.047,-0.241,-0.032,POINT
3663,1954,1386,9.483,-0.692,-2.318,-0.021,-0.076,0.11,POINT
3883,1967,2441,9.826,-0.915,-1.848,-0.06,-0.04,0.156,POINT
3824,1963,1360,10.07,-1.037,-1.669,-0.039,-0.171,0.092,POINT
3806,1907,1709,9.979,-0.879,-1.879,0.019,-0.352,0.017,POINT
3933,1923,1091,9.594,-0.776,-2.473,0.019,-0.319,0.042,POINT
3893,1926,2217,9.44,-0.958,-2.55,-0.055,-0.06,0.051,POINT
3986,1967,2893,9.548,-0.97,-2.152,-0.081,0.063,-0.015,POINT
3940,1949,3575,9.483,-0.687,-2.023,-0.071,0.007,-0.019,POINT
4055,1950,2976,9.503,-0.642,-2.263,-0.056,-0.097,0.02,POINT
4095,1948,4095,9.407,-0.73,-2.485,-0.066,-0.06,0.049,POINT
4048,1958,4095,9.5,-0.821,-2.375,-0.077,-0.003,0.031,POINT
4032,2023,4095,9.412,-0.771,-2.284,-0.063,0.051,0.018,POINT
3939,1969,4095,9.538,-0.697,-2.052,-0.064,0.015,0.03,POINT
4095,2007,4095,9.685,-0.666,-1.98,-0.047,-0.104,0.057,POINT
3930,1974,4095,9.637,-0.742,-2.277,-0.027,-0.144,0.074,POINT
4095,1991,4095,9.507,-0.85,-2.377,-0.029,-0.026,0.06,POINT
3980,1991,4095,9.675,-0.946,-2.071,-0.038,0.057,0.006,POINT
3981,1997,4033,9.708,-0.773,-1.932,-0.03,0.001,-0.036,POINT
3871,2006,3517,9.72,-0.702,-1.992,-0.027,-0.099,-0.005,POINT
3830,1951,2844,9.694,-0.824,-2.236,-0.021,-0.112,0.015,POINT
3815,1919,1625,9.538,-0.852,-2.37,-0.034,0.001,0.008,POINT
3959,2031,2427,9.56,-0.946,-2.152,-0.057,0.097,0.012,POINT
3812,2023,1527,9.615,-0.881,-1.958,-0.064,0.055,0.023,POINT
3945,1971,1716,9.79,-0.895,-1.961,-0.058,-0.076,0.042,POINT
4032,1959,927,9.644,-0.857,-2.236,-0.055,-0.111,0.067,POINT
3991,1956,1839,9.644,-0.967,-2.186,-0.081,-0.025,0.061,POINT
4074,1967,2864,9.653,-0.922,-2.035,-0.086,0.033,0.026,POINT
3900,2022,2805,9.692,-0.781,-1.875,-0.078,-0.021,0.006,POINT
4095,1998,3179,9.728,-0.773,-1.97,-0.064,-0.12,0.034,POINT
3946,1985,3895,9.658,-0.821,-2.224,-0.058,-0.111,0.054,POINT
4068,1973,4095,9.685,-0.943,-2.186,-0.072,-0.018,0.04,POINT
3959,1958,4095,9.653,-0.903,-2.057,-0.07,0.015,-0.019,POINT
3991,1923,4095,9.558,-0.824,-2.078,-0.059,-0.001,-0.038,POINT
4095,1938,4095,9.565,-0.831,-2.095,-0.06,-0.004,-0.015,POINT
3979,1969,4095,9.668,-0.833,-2.014,-0.074,-0.045,0.005,POINT
4074,1998,4095,9.603,-0.836,-2.176,-0.08,-0.025,0.048,POINT
3862,1987,3778,9.68,-0.934,-2.049,-0.09,0.019,0.05,POINT
3984,1942,3606,9.778,-0.974,-1.97,-0.091,0.014,0.014,POINT
3965,1954,3739,9.706,-0.819,-1.913,-0.076,-0.021,-0.017,POINT
3967,1956,2749,9.629,-0.74,-1.997,-0.064,-0.046,0.002,POINT
3887,1930,1564,9.682,-0.807,-2.014,-0.071,-0.021,0.029,POINT
